Date,SPY,EFA,EEM,EMB,HYG,LQD
1993-07-19,25.182053,NA,NA,NA,NA,NA
1993-07-20,25.252451,NA,NA,NA,NA,NA
1993-07-21,25.234850,NA,NA,NA,NA,NA
1993-07-22,25.058872,NA,NA,NA,NA,NA
1993-07-23,25.182053,NA,NA,NA,NA,NA
1993-07-26,25.322840,NA,NA,NA,NA,NA
1993-07-27,25.305243,NA,NA,NA,NA,NA
1993-07-28,25.252451,NA,NA,NA,NA,NA
1993-07-29,25.393238,NA,NA,NA,NA,NA
1993-07-30,25.252451,NA,NA,NA,NA,NA
1993-08-02,25.322840,NA,NA,NA,NA,NA
1993-08-03,25.340445,NA,NA,NA,NA,NA
1993-08-04,25.340445,NA,NA,NA,NA,NA
1993-08-05,25.287645,NA,NA,NA,NA,NA
1993-08-06,25.322840,NA,NA,NA,NA,NA
1993-08-09,25.463623,NA,NA,NA,NA,NA
1993-08-10,25.446030,NA,NA,NA,NA,NA
1993-08-11,25.446030,NA,NA,NA,NA,NA
1993-08-12,25.375635,NA,NA,NA,NA,NA
1993-08-13,25.410833,NA,NA,NA,NA,NA
1993-08-16,25.551603,NA,NA,NA,NA,NA
1993-08-17,25.639599,NA,NA,NA,NA,NA
1993-08-18,25.780380,NA,NA,NA,NA,NA
1993-08-19,25.780380,NA,NA,NA,NA,NA
1993-08-20,25.797976,NA,NA,NA,NA,NA
1993-08-23,25.745188,NA,NA,NA,NA,NA
1993-08-24,26.026741,NA,NA,NA,NA,NA
1993-08-25,26.044344,NA,NA,NA,NA,NA
1993-08-26,26.061941,NA,NA,NA,NA,NA
1993-08-27,26.044344,NA,NA,NA,NA,NA
1993-08-30,26.149920,NA,NA,NA,NA,NA
1993-08-31,26.220318,NA,NA,NA,NA,NA
1993-09-01,26.185131,NA,NA,NA,NA,NA
1993-09-02,26.097136,NA,NA,NA,NA,NA
1993-09-03,26.114731,NA,NA,NA,NA,NA
1993-09-07,25.938757,NA,NA,NA,NA,NA
1993-09-08,25.850765,NA,NA,NA,NA,NA
1993-09-09,25.903549,NA,NA,NA,NA,NA
1993-09-10,26.132328,NA,NA,NA,NA,NA
1993-09-13,26.149920,NA,NA,NA,NA,NA
1993-09-14,26.044344,NA,NA,NA,NA,NA
1993-09-15,26.114731,NA,NA,NA,NA,NA
1993-09-16,26.009142,NA,NA,NA,NA,NA
1993-09-17,25.958712,NA,NA,NA,NA,NA
1993-09-20,25.746216,NA,NA,NA,NA,NA
1993-09-21,25.657694,NA,NA,NA,NA,NA
1993-09-22,25.870171,NA,NA,NA,NA,NA
1993-09-23,26.011848,NA,NA,NA,NA,NA
1993-09-24,25.941019,NA,NA,NA,NA,NA
1993-09-27,26.224321,NA,NA,NA,NA,NA
1993-09-28,26.171200,NA,NA,NA,NA,NA
1993-09-29,26.082676,NA,NA,NA,NA,NA
1993-09-30,26.029547,NA,NA,NA,NA,NA
1993-10-01,26.153492,NA,NA,NA,NA,NA
1993-10-04,26.188913,NA,NA,NA,NA,NA
1993-10-05,26.153492,NA,NA,NA,NA,NA
1993-10-06,26.135790,NA,NA,NA,NA,NA
1993-10-07,26.064959,NA,NA,NA,NA,NA
1993-10-08,26.100361,NA,NA,NA,NA,NA
1993-10-11,26.153492,NA,NA,NA,NA,NA
1993-10-12,26.188913,NA,NA,NA,NA,NA
1993-10-13,26.188913,NA,NA,NA,NA,NA
1993-10-14,26.525345,NA,NA,NA,NA,NA
1993-10-15,26.666983,NA,NA,NA,NA,NA
1993-10-18,26.596182,NA,NA,NA,NA,NA
1993-10-19,26.401390,NA,NA,NA,NA,NA
1993-10-20,26.436806,NA,NA,NA,NA,NA
1993-10-21,26.401390,NA,NA,NA,NA,NA
1993-10-22,26.277449,NA,NA,NA,NA,NA
1993-10-25,26.348278,NA,NA,NA,NA,NA
1993-10-26,26.330568,NA,NA,NA,NA,NA
1993-10-27,26.348278,NA,NA,NA,NA,NA
1993-10-28,26.543064,NA,NA,NA,NA,NA
1993-10-29,26.543064,NA,NA,NA,NA,NA
1993-11-01,26.613869,NA,NA,NA,NA,NA
1993-11-02,26.596182,NA,NA,NA,NA,NA
1993-11-03,26.259745,NA,NA,NA,NA,NA
1993-11-04,25.976416,NA,NA,NA,NA,NA
1993-11-05,26.100361,NA,NA,NA,NA,NA
1993-11-08,26.135790,NA,NA,NA,NA,NA
1993-11-09,26.153492,NA,NA,NA,NA,NA
1993-11-10,26.348278,NA,NA,NA,NA,NA
1993-11-11,26.277449,NA,NA,NA,NA,NA
1993-11-12,26.401390,NA,NA,NA,NA,NA
1993-11-15,26.383688,NA,NA,NA,NA,NA
1993-11-16,26.507633,NA,NA,NA,NA,NA
1993-11-17,26.365984,NA,NA,NA,NA,NA
1993-11-18,26.295145,NA,NA,NA,NA,NA
1993-11-19,26.242020,NA,NA,NA,NA,NA
1993-11-22,26.082676,NA,NA,NA,NA,NA
1993-11-23,26.224321,NA,NA,NA,NA,NA
